요양기관명,소재지,요양종별,X좌표,Y좌표
이화여자대학교의과대학부속목동병원,서울특별시 양천구 안양천로 1071 (목동),상급종합병원,945806.0,1948712.0
재단법인아산사회복지재단 서울아산병원,"서울특별시 송파구 올림픽로43길 88, 서울아산병원 (풍납동)",상급종합병원,965502.0,1947529.0
중앙대학교병원,서울특별시 동작구 흑석로 102 (흑석동),상급종합병원,952323.0,1945435.0
학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)",상급종합병원,958171.0,1954149.0
학교법인가톨릭학원가톨릭대학교서울성모병원,서울특별시 서초구 반포대로 222 (반포동),상급종합병원,956293.0,1944660.0
한양대학교병원,서울특별시 성동구 왕십리로 222-1 (사근동),상급종합병원,959693.0,1951146.0
서울대학교병원,서울특별시 종로구 대학로 101 (연건동),상급종합병원,955770.0,1953412.0
강북삼성병원,서울특별시 종로구 새문안로 29 (평동),상급종합병원,952965.0,1952243.0
건국대학교병원,서울특별시 광진구 능동로 120-1 (화양동),상급종합병원,962186.0,1949114.0
경희대학교병원,서울특별시 동대문구 경희대로 23 (회기동),상급종합병원,960455.0,1955219.0
고려대학교의과대학부속구로병원,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",상급종합병원,945636.0,1943800.0
연세대학교의과대학세브란스병원,서울특별시 서대문구 연세로 50-1 (신촌동),상급종합병원,950550.0,1951623.0
삼성서울병원,"서울특별시 강남구 일원로 81 (일원동, 삼성의료원)",상급종합병원,963460.0,1943345.0
연세대학교의과대학 강남세브란스병원,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",상급종합병원,959909.0,1943810.0
서울성심병원,"서울특별시 동대문구 왕산로 259, 서울성심병원 (청량리동)",종합병원,960253.0,1953961.0
서울적십자병원,"서울특별시 종로구 새문안로 9, 적십자병원 (평동)",종합병원,952948.0,1952159.0
의료법인서울효천의료재단 에이치플러스양지병원,"서울특별시 관악구 남부순환로 1636, 양지병원 (신림동)",종합병원,949834.0,1942917.0
의료법인풍산의료재단동부제일병원,"서울특별시 중랑구 망우로 511, 동부제일병원 지하1~6층 (망우동)",종합병원,965513.0,1955765.0
이화여자대학교의과대학부속서울병원,"서울특별시 강서구 공항대로 260, 이화의대부속서울병원 (마곡동)",종합병원,941377.0,1951085.0
인제대학교 상계백병원,"서울특별시 노원구 동일로 1342, 상계백병원 (상계동)",종합병원,961461.0,1961100.0
차의과학대학교 강남차병원,"서울특별시 강남구 논현로 566, 강남차병원(역삼동650-9, 606-4, 605외2필지(지하7층~지하1층, 지상2층~7층)) (역삼동)",종합병원,958885.0,1945361.0
혜민병원,서울특별시 광진구 자양로 85 (자양동),종합병원,963201.0,1948520.0
홍익병원,"서울특별시 양천구 목동로 225, 홍익병원본관 (신정동)",종합병원,943775.0,1947876.0
가톨릭대학교 여의도성모병원,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",종합병원,950168.0,1946668.0
가톨릭대학교 은평성모병원,서울특별시 은평구 통일로 1021 (진관동),종합병원,948485.0,1959509.0
강동경희대학교의대병원,서울특별시 강동구 동남로 892 (상일동),종합병원,969734.0,1950465.0
경찰병원,"서울특별시 송파구 송이로 123, 국립경찰병원 (가락동)",종합병원,966707.0,1944206.0
국립중앙의료원,서울특별시 중구 을지로 245 (을지로6가),종합병원,956367.0,1952124.0
의료법인한전의료재단 한일병원,"서울특별시 도봉구 우이천로 308, 한일병원 (쌍문동)",종합병원,958424.0,1960792.0
삼육서울병원,서울특별시 동대문구 망우로 82 (휘경동),종합병원,961514.0,1954424.0
서울특별시 동부병원,서울특별시 동대문구 무학로 124 (용두동),종합병원,958632.0,1952990.0
서울특별시보라매병원,서울특별시 동작구 보라매로5길 20 (신대방동),종합병원,949124.0,1943969.0
서울특별시서남병원,서울특별시 양천구 신정이펜1로 20 (신정동),종합병원,941061.0,1946049.0
성애의료재단 성애병원,"서울특별시 영등포구 여의대방로53길 22 (신길동, 성애병원)",종합병원,948943.0,1946024.0
한국보훈복지의료공단 중앙보훈병원,서울특별시 강동구 진황도로61길 53 (둔촌동),종합병원,968882.0,1947808.0
한국원자력의학원원자력병원,"서울특별시 노원구 노원로 75, 한국원자력의학원 (공릉동)",종합병원,963173.0,1958928.0
한림대학교 강남성심병원,"서울특별시 영등포구 신길로 1 (대림동, 강남성심병원)",종합병원,947728.0,1943944.0
한림대학교 한강성심병원,"서울특별시 영등포구 버드나루로7길 12 (영등포동7가, 한강성심병원)",종합병원,947837.0,1947260.0
의료법인 청구성심병원,서울특별시 은평구 통일로 873 (갈현동),종합병원,948769.0,1958093.0
미즈메디병원,서울특별시 강서구 강서로 295 (내발산동),종합병원,941337.0,1950521.0
서울특별시서울의료원,서울특별시 중랑구 신내로 156 (신내동),종합병원,964579.0,1957125.0
성심의료재단강동성심병원,서울특별시 강동구 성안로 150 (길동),종합병원,967782.0,1948579.0
세란병원,서울특별시 종로구 통일로 256 (무악동),종합병원,952099.0,1953013.0
순천향대학교 부속 서울병원,서울특별시 용산구 대사관로 59 (한남동),종합병원,956210.0,1948408.0
노원을지대학교병원,"서울특별시 노원구 한글비석로 68, 을지병원 (하계동)",종합병원,962057.0,1959749.0
녹색병원,서울특별시 중랑구 사가정로49길 53 (면목동),종합병원,963451.0,1953878.0
대림성모병원,"서울특별시 영등포구 시흥대로 657 (대림동, 대림성모병원)",종합병원,947591.0,1943646.0
부민병원,"서울특별시 강서구 공항대로 389, 부민병원 (등촌동)",종합병원,942670.0,1951031.0
서울노보스병원,서울특별시 도봉구 도봉로 755(도봉동),병원,959751.0,1963698.0
서울라본병원,서울특별시 중랑구 망우로 476 (망우동),병원,965143.0,1955730.0
서울숭인병원,"서울특별시 종로구 종로 386, 6.7.8.9층 (숭인동)",병원,957645.0,1952853.0
서울스타병원,"서울특별시 강서구 강서로 307, 서울스타병원빌딩 3,4,5,6,7,층 8,9호 (내발산동)",병원,941371.0,1950641.0
서울퍼스트병원,"서울특별시 관악구 은천로 51 (봉천동, 2,3,4,5,6층)",병원,950597.0,1943149.0
서울프라임병원,"서울특별시 광진구 동일로 92-1, B1~2, 2~7층 (자양동)",병원,961457.0,1949142.0
성북우리아이들병원,서울특별시 성북구 동소문로46길 10 (하월곡동),병원,958458.0,1956485.0
숨이편한병원,"서울특별시 강서구 강서로 323, 4~8층 (내발산동)",병원,941391.0,1950802.0
의료법인서광의료재단 성북중앙병원,서울특별시 성북구 종암로 72 (종암동),병원,959005.0,1955376.0
의료법인한국의료재단프라임병원,서울특별시 중랑구 공릉로 76 (묵동),병원,962887.0,1957616.0
장스여성병원,"서울특별시 중랑구 용마산로117길 49, 장스여성병원 비동 (7층 일부제외)동 (망우동)",병원,964505.0,1955652.0
연세노블병원,서울특별시 은평구 서오릉로 37 (녹번동),병원,949201.0,1956229.0
연세사랑모아여성병원,서울특별시 구로구 중앙로 100 (고척동),병원,943489.0,1945422.0
참튼튼병원,서울특별시 동대문구 답십리로 261 (장안동),병원,961974.0,1952683.0
참튼튼병원,"서울특별시 노원구 노해로 502, 2층, 3층, 5층 (상계동)",병원,961518.0,1961729.0
청담해리슨병원,"서울특별시 강남구 삼성로 646, 마디빌딩 B3~B1,2~9층 (삼성동)",병원,960338.0,1946583.0
청화병원,서울특별시 동작구 장승배기로 108 (노량진동),병원,950527.0,1945453.0
튼튼병원,"서울특별시 강남구 영동대로 713, B1~6층, 7층일부,8층 (청담동)",병원,960742.0,1946985.0
햇빛병원,서울특별시 강북구 도봉로 74 (미아동),병원,958546.0,1957471.0
호산여성병원,"서울특별시 강남구 언주로 871, 호산병원 (신사동)",병원,958762.0,1947793.0
강남더드림병원,"서울특별시 강남구 선릉로 404, 더드림병원 (대치동)",병원,960311.0,1944731.0
강남유나이티드병원,"서울특별시 강남구 남부순환로 2609, 하늘빌딩, 7~12층 (도곡동) (도곡동)",병원,958903.0,1942961.0
강남초이스병원,"서울특별시 관악구 남부순환로 1796, -1,2~5층 (봉천동, 삼호빌딩)",병원,951319.0,1942666.0
고은빛여성병원,서울특별시 강동구 천호대로 1151 (길동),병원,968136.0,1948377.0
기쁨병원,"서울특별시 서초구 서초중앙로 4, 기쁨병원 (서초동)",병원,957393.0,1942717.0
신촌연세병원,"서울특별시 마포구 서강로 110, 지2층~6층 (신수동)",병원,949985.0,1950512.0
인정병원,서울특별시 은평구 응암로 164 (응암동),병원,948481.0,1954288.0
연세슬기병원,서울특별시 성동구 무학로2길 8 (도선동),병원,958551.0,1951760.0
윤호병원,"서울특별시 강남구 압구정로 304, 윤호병원 (지하1층,지하2층,1층~4층,7층)  (신사동)",병원,958863.0,1947829.0
의료법인 원중의료재단 우리내일병원,"서울특별시 서대문구 신촌로37길 10, 우리내일병원 지하4층~지하1층 ,4층~10층호 (북아현동)",병원,952045.0,1951066.0
제이여성병원,"서울특별시 서대문구 통일로 442 (홍제동, 제이여성병원)",병원,950994.0,1954490.0
목동제일여성병원,서울특별시 양천구 중앙로 300 (신정동),병원,942736.0,1947284.0
미래드림여성병원,서울특별시 관악구 남부순환로 1785 (봉천동),병원,951259.0,1942676.0
새로운병원,"서울특별시 강남구 학동로 121, 새로운병원빌딩 지하1층일부~7층 (논현동)",병원,957960.0,1945993.0
참포도나무병원,서울특별시 서초구 바우뫼로35길 32 (양재동),병원,959214.0,1942400.0
청담병원,"서울특별시 강남구 삼성로147길 46 (청담동, 청담병원 지하1층, 1층일부, 2층~6층)",병원,959847.0,1946919.0
서울원병원,"서울특별시 강서구 강서로 179, 6~10층 (화곡동)",병원,941636.0,1949433.0
서울특별시어린이병원,서울특별시 서초구 헌릉로 260 (내곡동),병원,961898.0,1939710.0
에이치큐브병원,서울특별시 도봉구 도봉로 604 (창동),병원,959521.0,1962190.0
엔플러스병원,"서울특별시 동대문구 장한로32길 7, 장안동의료시설 (장안동)",병원,962261.0,1952983.0
포미즈여성병원,"서울특별시 양천구 공항대로 610 (목동, 정종일산부인과)",병원,944557.0,1949903.0
연세산돌병원,"서울특별시 중랑구 봉우재로 234, 연세산돌병원 지하1층~7층 (망우동)",병원,964590.0,1955162.0
연세우리병원,"서울특별시 송파구 백제고분로 185, 2~9층 (잠실동)",병원,963525.0,1945139.0
유광사여성병원,서울특별시 강서구 강서로 194 (화곡동),병원,941597.0,1949567.0
한강수병원,"서울특별시 영등포구 영등포로 83, 한강수병원 (양평동1가)",병원,946177.0,1947186.0
은평연세병원,서울특별시 은평구 연서로 177 (갈현동),병원,948584.0,1957407.0
의료법인 우리아이들 의료재단 우리아이들병원,"서울특별시 구로구 새말로 15, 2~9층 (구로동, 삼전솔하임)",병원,945415.0,1944939.0
의료법인 청해의료재단 제일병원,서울특별시 서초구 서초대로 116 (방배동),병원,955362.0,1943296.0
삼성미래여성병원,"서울특별시 구로구 서해안로 2296, 삼성미래여성병원 (오류동)",병원,941689.0,1943753.0
새힘병원,서울특별시 노원구 노원로 416(상계동),병원,961884.0,1961668.0
서울특별시서북병원,서울특별시 은평구 갈현로7길 49 (역촌동),병원,947438.0,1956243.0
아름제일병원,"서울특별시 구로구 새말로 94, 2~6층, 9층 / 새말로 110 지하1층동 3~6층 (구로동)",병원,946130.7088,1945307.101
뉴스타트병원,"서울특별시 송파구 송이로 76, 뉴스타트병원 (가락동)",병원,966366.0,1944496.0
담소유병원,"서울특별시 강남구 학동로 234, 담소유빌딩 (논현동)",병원,958874.0,1946276.0
더본병원,서울특별시 동작구 동작대로 67 (사당동),병원,954156.0,1942716.0
두발로병원,"서울특별시 강남구 압구정로30길 45, 2~4층 (신사동)",병원,958418.0,1947331.0
로이병원,"서울특별시 종로구 평창문화로 75, 글로리아타운 2층일부,3,5층 (평창동)",병원,953150.0,1956507.0
린여성병원,"서울특별시 동대문구 답십리로 266, 파워스빌딩 (장안동)",병원,962014.0,1952631.0
마디세상병원,서울특별시 중랑구 동일로 890 (묵동),병원,962772.0,1956801.0
메디아이여성병원,"서울특별시 노원구 노원로 448 (상계동, 메디아이여성병원)",병원,961812.0,1961973.0
바로선병원,"서울특별시 도봉구 도봉로 628 (창동, 바로선병원)",병원,959614.0,1962407.0
반도정형외과병원,서울특별시 중구 동호로 202 (신당동),병원,956731.0,1950851.0
방병원,"서울특별시 노원구 동일로 989, 1~9층 (공릉동)",병원,962496.0,1957746.0
신촌힐링요양병원,"서울특별시 서대문구 모래내로 330, 미도빌딩 (홍은동)",요양병원,950002.0,1953525.0
신화요양병원,서울특별시 영등포구 영중로 100 (영등포동7가),요양병원,947511.0,1947475.0
의료법인참예원의료재단 성북참요양병원,서울특별시 성북구 북악산로1길 71 (정릉동),요양병원,956320.0,1955473.0
큰사랑요양병원,"서울특별시 강남구 논현로2길 30 (개포동, 지하2층~1층, 지상1층~6층)",요양병원,960452.0,1941625.0
포레힐요양병원,서울특별시 송파구 오금로 173 (방이동),요양병원,965870.0,1945675.0
푸르메재단 넥슨어린이재활병원,"서울특별시 마포구 월드컵북로 494, 지하1층~7층 (상암동, 푸르메재단넥슨어린이재활병원)",요양병원,945305.0,1954097.0
플러스요양병원,"서울특별시 성북구 솔샘로1길 19, 그린존 1층~6층 (정릉동)",요양병원,956210.0,1956652.0
네이처요양병원,"서울특별시 강남구 헌릉로569길 21-40, 지하3~4층, 지하2층일부, 지하1층일부, 지상1층일부, 지상2~8층 (세곡동)",요양병원,964605.0,1940875.0
메디움강남요양병원,서울특별시 강남구 강남대로 276(도곡동),요양병원,958704.0,1943302.0
보문효사랑요양병원,서울특별시 성북구 보문로 46 (보문동7가),요양병원,957860.0,1953480.0
서대문구보건소,서울특별시 연희로 242,보건소,950224.3539,1953396.749
은평구보건소,서울특별시 은평구 은평로 195 (녹번동),보건소,949634.0,1956048.0
강북구보건소,"서울특별시 강북구 한천로 897 (번동, 강북보건소,번2동주민센터)",보건소,959306.0,1959286.0
서초구방배보건지소,"서울특별시 서초구 방배로 173 (방배동, 방배열린문화센터(방배4동주민센터))",보건지소,955116.0,1943414.0
서초보건지소,"서울특별시 서초구 서초대로38길 12, 101동 1층 (서초동, 마제스타시티, 힐스테이트 서리풀)",보건지소,956283.0,1943553.0
의료법인다나의료재단구로다나병원,"서울특별시 구로구 개봉로 126, 구로다나병원빌딩 (개봉동)",정신병원,943148.0,1944384.0
국립정신건강센터,"서울특별시 광진구 용마산로 127 (중곡동, 국립정신건강센터)",정신병원,963418.0,1951828.0
베이직병원,"서울특별시 도봉구 삼양로 610, 지하1층층 지상1,2,3,4호 (쌍문동, 산수디앤씨)",정신병원,957124.0,1962107.0
서울미르한방병원,"서울특별시 노원구 동일로197길 11, 공삼빌딩 2,3,4층 (공릉동)",한방병원,962114.0,1958870.0
은평포레스트한방병원,"서울특별시 은평구 통일로 636, 은평 미드스퀘어 4,5층 (녹번동)",한방병원,950158.0,1956171.0
이솝한방병원,"서울특별시 강남구 영동대로96길 34, 대윤빌딩 1층 (삼성동)",한방병원,961584.0,1945854.0
치유본한방병원,"서울특별시 관악구 신원로 35, 삼모더프라임타워 6층 (신림동)",한방병원,949520.0,1942713.0
활명한방병원,"서울특별시 서대문구 수색로 102, 2~4층 (북가좌동, DMC요진아파트)",한방병원,947752.0,1952770.0
힘찬큐한방병원,"서울특별시 강남구 봉은사로 213, 센트럴타워 5~7층 (논현동)",한방병원,958936.0,1945520.0
경희리솜한방병원,"서울특별시 금천구 시흥대로79길 15, 리솜메디라이프 4~7층 (시흥동)",한방병원,946731.0,1940135.0
모아한방병원,"서울특별시 노원구 동일로 987, 태릉마이크로병원건물 2,5,6,7층 (공릉동)",한방병원,962488.0,1957730.0
서강정형외과의원,"서울특별시 서대문구 가좌로 65, 1,2층 (홍은동, 서강주상복합아파트)",의원,949579.0,1953448.0
서내과의원,"서울특별시 동작구 서달로 150, 203호 (흑석동, 이랜드해가든)",의원,952464.0,1945388.0
