요양기관명,소재지,요양종별,진료시간(월요일)C,진료시간(화요일)C,진료시간(수요일)C,진료시간(목요일)C,진료시간(금요일)C,진료시간(토요일)C,진료시간(일요일)C,진료시간(공휴일)C,진료시간(월요일)S,진료시간(화요일)S,진료시간(수요일)S,진료시간(목요일)S,진료시간(금요일)S,진료시간(토요일)S,진료시간(일요일)S,진료시간(공휴일)S,병원경도,병원위도
이화여자대학교의과대학부속목동병원,서울특별시 양천구 안양천로 1071 (목동),상급종합병원,1730.0,1730.0,1730.0,1730.0,1730.0,1200.0,1800.0,1830.0,800.0,800.0,800.0,800.0,800.0,900.0,1000.0,930.0,126.8862159683056,37.53654282637804
재단법인아산사회복지재단 서울아산병원,"서울특별시 송파구 올림픽로43길 88, 서울아산병원 (풍납동)",상급종합병원,1730.0,1730.0,1730.0,1730.0,1730.0,1300.0,1500.0,1500.0,830.0,830.0,830.0,830.0,830.0,900.0,900.0,900.0,127.10823825113609,37.526563966361216
중앙대학교병원,서울특별시 동작구 흑석로 102 (흑석동),상급종합병원,1630.0,1630.0,1630.0,1630.0,1630.0,1200.0,1400.0,1300.0,830.0,830.0,830.0,830.0,830.0,830.0,900.0,900.0,126.96079378447554,37.50707428493414
학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)",상급종합병원,1730.0,1730.0,1730.0,1730.0,1730.0,1200.0,2100.0,1300.0,830.0,830.0,830.0,830.0,830.0,800.0,900.0,900.0,127.02647086385966,37.58715608002366
학교법인가톨릭학원가톨릭대학교서울성모병원,서울특별시 서초구 반포대로 222 (반포동),상급종합병원,1700.0,1700.0,1700.0,1700.0,1700.0,1200.0,2100.0,1300.0,800.0,800.0,800.0,800.0,800.0,800.0,900.0,900.0,127.00472725970135,37.50180080478528
한양대학교병원,서울특별시 성동구 왕십리로 222-1 (사근동),상급종합병원,1730.0,1730.0,1730.0,1730.0,1730.0,1230.0,1330.0,1400.0,830.0,830.0,830.0,830.0,830.0,830.0,930.0,930.0,127.04488284061982,37.559944533564746
서울대학교병원,서울특별시 종로구 대학로 101 (연건동),상급종합병원,1800.0,1800.0,1800.0,1800.0,1800.0,1330.0,1400.0,1400.0,800.0,800.0,800.0,800.0,800.0,800.0,900.0,900.0,126.99896308412193,37.57966608924356
강북삼성병원,서울특별시 종로구 새문안로 29 (평동),상급종합병원,1700.0,1700.0,1700.0,1700.0,1700.0,1230.0,1300.0,1300.0,830.0,830.0,830.0,830.0,830.0,830.0,900.0,900.0,126.96793805451702,37.568497631233825
건국대학교병원,서울특별시 광진구 능동로 120-1 (화양동),상급종합병원,1730.0,1730.0,1730.0,1730.0,1730.0,1230.0,1330.0,1330.0,830.0,830.0,830.0,830.0,830.0,830.0,1000.0,1000.0,127.0721229093036,37.54084479467721
경희대학교병원,서울특별시 동대문구 경희대로 23 (회기동),상급종합병원,1730.0,1730.0,1730.0,1730.0,1730.0,1230.0,1800.0,1500.0,830.0,830.0,830.0,830.0,830.0,900.0,900.0,1000.0,127.05183223390304,37.5938765502235
고려대학교의과대학부속구로병원,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",상급종합병원,1730.0,1730.0,1730.0,1730.0,1730.0,1200.0,1600.0,1600.0,900.0,900.0,900.0,900.0,900.0,900.0,1030.0,1030.0,126.8847449363546,37.49211114525054
연세대학교의과대학세브란스병원,서울특별시 서대문구 연세로 50-1 (신촌동),상급종합병원,1730.0,1730.0,1730.0,1730.0,1730.0,1230.0,1600.0,1600.0,830.0,830.0,830.0,830.0,830.0,830.0,1000.0,1000.0,126.94082769649864,37.56211711412639
삼성서울병원,"서울특별시 강남구 일원로 81 (일원동, 삼성의료원)",상급종합병원,1530.0,1530.0,1530.0,1530.0,1530.0,1300.0,1400.0,1300.0,830.0,830.0,830.0,830.0,830.0,900.0,900.0,830.0,127.08668245340024,37.48851613490445
