자치구,동,의료기관수
강남구,개포동,21
강남구,논현동,29
강남구,대치동,22
강남구,도곡동,21
강남구,삼성동,23
강남구,세곡동,8
강남구,수서동,8
강남구,신사동,26
강남구,알수 없음,1
강남구,압구정동,3
강남구,역삼동,36
강남구,율현동,1
강남구,일원동,5
강남구,자곡동,4
강남구,청담동,23
강동구,강일동,10
강동구,고덕동,10
강동구,길동,17
강동구,둔촌동,4
강동구,명일동,16
강동구,상일동,7
강동구,성내동,15
강동구,암사동,15
강동구,천호동,23
강북구,미아동,62
강북구,번동,18
강북구,수유동,35
강북구,알수 없음,1
강북구,우이동,3
강서구,가양동,18
강서구,공항동,6
강서구,내발산동,11
강서구,등촌동,24
강서구,마곡동,28
강서구,방화동,28
강서구,염창동,17
강서구,화곡동,71
관악구,남현동,6
관악구,봉천동,71
관악구,신림동,50
광진구,광장동,9
광진구,구의동,29
광진구,군자동,8
광진구,능동,1
광진구,알수 없음,1
광진구,자양동,43
광진구,중곡동,39
광진구,화양동,13
구로구,가리봉동,3
구로구,개봉동,31
구로구,고척동,21
구로구,구로동,43
구로구,궁동,1
구로구,신도림동,12
구로구,오류동,18
구로구,온수동,1
구로구,천왕동,4
구로구,항동,4
금천구,가산동,11
금천구,독산동,31
금천구,시흥동,36
노원구,공릉동,26
노원구,상계동,54
노원구,월계동,15
노원구,중계동,28
노원구,하계동,6
도봉구,도봉동,12
도봉구,방학동,18
도봉구,쌍문동,18
도봉구,창동,39
동대문구,답십리동,22
동대문구,신설동,1
동대문구,용두동,10
동대문구,이문동,18
동대문구,장안동,30
동대문구,전농동,20
동대문구,제기동,3
동대문구,청량리동,12
동대문구,회기동,3
동대문구,휘경동,7
동작구,노량진동,11
동작구,대방동,13
동작구,본동,1
동작구,사당동,35
동작구,상도동,33
동작구,신대방동,16
동작구,알수 없음,4
동작구,흑석동,11
마포구,공덕동,9
마포구,구수동,2
마포구,노고산동,5
마포구,대흥동,8
마포구,도화동,16
마포구,동교동,6
마포구,망원동,15
마포구,상암동,13
마포구,서교동,6
마포구,성산동,6
마포구,신공덕동,4
마포구,신수동,5
마포구,아현동,12
마포구,연남동,2
마포구,염리동,6
마포구,용강동,2
마포구,중동,5
마포구,창전동,2
마포구,합정동,5
서대문구,남가좌동,16
서대문구,냉천동,1
서대문구,대현동,1
서대문구,미근동,1
서대문구,북가좌동,12
서대문구,북아현동,7
서대문구,신촌동,1
서대문구,연희동,7
서대문구,영천동,1
서대문구,창천동,2
서대문구,충정로2가,1
서대문구,홍은동,7
서대문구,홍제동,19
서초구,내곡동,5
서초구,반포동,26
