진료월,시군구,소아청소년과_평균진료건수,소아치과_평균진료건수
1,강남구,14668.0,3021.0
1,강동구,14333.0,3263.0
1,강북구,8727.5,1207.5
1,강서구,19688.5,2125.0
1,관악구,12865.0,1393.5
1,광진구,8319.5,1772.0
1,구로구,16969.5,1344.5
1,금천구,9063.0,496.5
1,노원구,30513.0,2270.0
1,도봉구,9925.5,1166.0
1,동대문구,9242.5,1704.0
1,동작구,13556.5,1823.0
1,마포구,12408.5,1545.0
1,서대문구,7787.0,1313.0
1,서초구,14199.0,2658.0
1,성동구,8962.5,1498.5
1,성북구,19943.0,2137.5
1,송파구,19426.5,3244.0
1,양천구,18278.0,2225.5
1,영등포구,17296.0,1315.5
1,용산구,7704.5,953.0
1,은평구,13723.5,2008.5
1,종로구,3501.0,557.5
1,중구,3521.0,415.5
1,중랑구,14525.0,1385.5
2,강남구,15072.5,3076.0
2,강동구,13479.0,3335.0
2,강북구,8084.0,1071.5
2,강서구,19209.0,2032.5
2,관악구,12397.0,1299.5
2,광진구,8194.0,1699.5
2,구로구,18306.5,1233.0
2,금천구,8700.5,485.5
2,노원구,32369.0,2206.0
2,도봉구,9830.5,1149.0
2,동대문구,9061.0,1591.5
2,동작구,12998.5,1873.5
2,마포구,12883.0,1618.5
2,서대문구,7890.5,1311.5
2,서초구,14732.0,2654.0
2,성동구,8998.0,1530.5
2,성북구,20517.0,2007.5
2,송파구,19627.5,3203.0
2,양천구,18524.5,2306.5
2,영등포구,16965.0,1373.5
2,용산구,7744.0,941.5
2,은평구,13177.5,1903.0
2,종로구,3537.0,503.0
2,중구,3525.5,417.0
2,중랑구,16719.5,1358.5
3,강남구,20244.5,2546.5
3,강동구,17446.5,2863.0
3,강북구,11010.5,1081.0
3,강서구,25225.0,1857.0
3,관악구,16906.0,1215.0
3,광진구,11532.5,1545.5
3,구로구,26133.5,1126.0
3,금천구,12479.5,428.5
3,노원구,36526.0,2032.0
3,도봉구,13537.5,1053.5
3,동대문구,13613.5,1450.5
3,동작구,18978.5,1581.0
3,마포구,22482.0,1344.5
3,서대문구,10485.0,1121.5
3,서초구,20671.5,2326.5
3,성동구,12315.5,1394.0
3,성북구,28324.5,1797.5
3,송파구,30415.0,2848.5
3,양천구,27614.5,1969.0
3,영등포구,20890.5,1183.0
3,용산구,10964.0,845.0
3,은평구,16553.5,1712.5
3,종로구,4505.5,449.0
3,중구,5381.5,411.5
3,중랑구,18045.0,1253.0
4,강남구,20401.0,2629.0
4,강동구,18525.0,3104.5
4,강북구,12046.0,1064.5
4,강서구,26317.0,1854.0
4,관악구,17430.0,1188.0
4,광진구,11368.0,1557.0
4,구로구,22388.0,1204.5
4,금천구,11681.5,431.5
4,노원구,36693.0,2030.0
4,도봉구,13364.5,1128.0
4,동대문구,12964.5,1516.5
4,동작구,18031.0,1665.0
4,마포구,18824.0,1369.5
4,서대문구,10251.5,1208.5
4,서초구,21411.5,2398.0
4,성동구,13109.0,1379.5
4,성북구,27576.0,1893.0
4,송파구,28924.5,2965.0
4,양천구,26423.0,2051.0
4,영등포구,22437.0,1239.5
4,용산구,11137.0,858.5
4,은평구,17911.5,1851.5
4,종로구,4710.0,478.5
4,중구,5503.0,440.5
4,중랑구,17463.5,1298.0
5,강남구,18038.0,2812.0
5,강동구,17304.5,3088.5
5,강북구,11350.5,1068.0
5,강서구,24519.0,2046.5
5,관악구,16090.0,1313.5
5,광진구,10299.5,1601.5
5,구로구,19187.5,1249.5
5,금천구,10623.0,489.0
5,노원구,33550.5,2143.0
5,도봉구,12610.5,1042.5
5,동대문구,11418.5,1555.5
5,동작구,17246.5,1673.5
5,마포구,16489.0,1441.0
5,서대문구,9246.5,1228.5
5,서초구,18021.5,2531.0
5,성동구,12651.0,1414.5
5,성북구,25089.5,2096.0
5,송파구,25292.0,3167.5
5,양천구,22837.5,2239.0
5,영등포구,21234.0,1286.0
5,용산구,10804.0,919.5
5,은평구,16884.5,1946.0
5,종로구,4465.5,480.5
5,중구,5069.5,426.5
5,중랑구,16943.0,1389.0
6,강남구,16060.5,2998.0
6,강동구,15510.0,3303.0
6,강북구,9240.0,1112.0
6,강서구,20841.0,2134.0
6,관악구,13935.0,1300.0
6,광진구,8878.0,1670.5
6,구로구,17553.0,1419.0
6,금천구,8928.5,475.0
6,노원구,29262.5,2146.0
6,도봉구,11024.5,1046.0
6,동대문구,9794.5,1530.5
6,동작구,15236.5,1874.0
6,마포구,13986.0,1577.0
6,서대문구,8625.0,1301.5
6,서초구,15149.5,2693.0
6,성동구,10523.5,1526.0
6,성북구,21685.0,2095.0
6,송파구,22706.0,3397.5
6,양천구,20478.0,2313.0
6,영등포구,18847.5,1406.0
6,용산구,9050.5,957.0
6,은평구,15198.5,2032.5
6,종로구,3971.5,472.5
6,중구,4148.5,484.0
6,중랑구,14857.5,1462.5
7,강남구,18814.5,3383.5
7,강동구,18828.5,3558.5
7,강북구,11933.0,1175.0
7,강서구,24464.5,2314.0
7,관악구,16547.0,1365.0
7,광진구,10979.0,1783.5
7,구로구,20925.0,1452.5
7,금천구,10658.0,488.5
7,노원구,36347.0,2295.5
7,도봉구,13614.0,1163.0
7,동대문구,12469.5,1661.0
7,동작구,18389.5,2005.0
7,마포구,16378.0,1626.5
7,서대문구,10395.0,1418.5
7,서초구,18370.5,2808.0
7,성동구,12378.5,1649.5
7,성북구,26198.5,2121.0
7,송파구,26562.0,3487.5
7,양천구,23843.0,2456.0
7,영등포구,22123.5,1520.0
7,용산구,10527.5,1001.5
7,은평구,18099.5,1974.5
7,종로구,4645.0,597.5
7,중구,4713.5,456.5
7,중랑구,17764.5,1408.0
8,강남구,17154.5,3663.0
8,강동구,17551.5,3654.5
8,강북구,10671.5,1262.5
8,강서구,21207.0,2554.0
8,관악구,14480.0,1422.5
8,광진구,9935.0,1955.5
8,구로구,18664.5,1475.0
8,금천구,10267.5,570.0
8,노원구,31725.0,2574.5
8,도봉구,12685.5,1248.5
8,동대문구,11846.0,1832.0
8,동작구,15925.0,2007.5
8,마포구,15003.5,1830.5
8,서대문구,9781.0,1532.0
8,서초구,15914.0,2879.5
8,성동구,10948.0,1708.5
8,성북구,22633.0,2362.5
8,송파구,23394.0,3775.0
8,양천구,20445.5,2590.5
8,영등포구,19756.0,1615.0
8,용산구,9015.5,1033.0
8,은평구,16317.5,2157.5
8,종로구,4117.5,623.5
8,중구,4574.5,485.0
8,중랑구,14883.5,1557.0
9,강남구,16478.5,2575.0
9,강동구,16905.0,2776.0
9,강북구,10340.0,1054.0
9,강서구,21785.0,1820.5
9,관악구,14416.0,1168.0
9,광진구,9671.5,1525.0
9,구로구,18196.0,1110.5
9,금천구,9827.5,569.5
9,노원구,31786.5,2053.5
9,도봉구,12061.5,1010.5
9,동대문구,11185.5,1449.0
9,동작구,16130.0,1570.5
9,마포구,14853.0,1362.5
9,서대문구,9386.0,1192.5
9,서초구,16555.0,2189.5
9,성동구,10829.0,1401.0
9,성북구,22968.5,1813.5
9,송파구,23199.5,3007.0
9,양천구,21197.5,1969.5
9,영등포구,19610.0,1270.5
9,용산구,9461.0,792.5
9,은평구,17049.5,1702.5
9,종로구,4140.0,464.5
9,중구,4425.0,374.5
9,중랑구,15181.0,1267.0
10,강남구,17430.0,2564.0
10,강동구,18019.5,2890.0
10,강북구,11599.0,1005.5
10,강서구,24670.0,1798.0
10,관악구,16378.0,1246.5
10,광진구,10576.5,1551.0
10,구로구,20169.0,1112.0
10,금천구,10677.0,751.5
10,노원구,35489.5,2058.0
10,도봉구,13313.0,1051.5
10,동대문구,12780.5,1499.5
10,동작구,17436.5,1612.5
10,마포구,16092.5,1266.0
10,서대문구,9824.0,1194.5
10,서초구,17522.0,2250.0
10,성동구,12440.0,1396.0
10,성북구,25725.5,1818.0
10,송파구,25776.5,2949.0
10,양천구,22616.5,1992.5
10,영등포구,20897.0,1187.5
10,용산구,10481.5,845.5
10,은평구,17841.5,1789.0
10,종로구,4606.0,478.0
10,중구,5013.0,388.0
10,중랑구,17397.0,1227.5
11,강남구,18020.5,2651.5
11,강동구,19348.0,2820.0
11,강북구,11483.0,1002.0
11,강서구,25228.5,1796.5
11,관악구,17449.5,1151.0
11,광진구,11024.5,1566.5
11,구로구,20118.0,1124.5
11,금천구,11281.0,678.5
11,노원구,36656.5,2014.0
11,도봉구,13943.0,1025.0
11,동대문구,12806.0,1465.5
11,동작구,18116.5,1673.0
11,마포구,16837.5,1346.0
11,서대문구,10400.5,1171.5
11,서초구,18581.0,2253.5
11,성동구,12576.0,1452.5
11,성북구,25651.5,1733.5
11,송파구,26295.5,2938.5
11,양천구,24041.0,1974.0
11,영등포구,22664.5,1208.5
11,용산구,10429.0,842.5
11,은평구,18774.5,1742.0
11,종로구,4600.5,453.5
11,중구,5140.5,426.0
11,중랑구,18090.0,1204.5
12,강남구,19752.5,2706.5
